"SEQUENCIAL_CANDIDATO";"SIGLA_UF";"TOTAL_VOTOS"
60000000246;"CE";277774
60000000247;"CE";4935
60000000248;"CE";26
60000000251;"CE";1956
60000000252;"CE";3547
60000000253;"CE";579
60000000254;"CE";1527
60000000255;"CE";268
60000000256;"CE";9445
60000000257;"CE";3342
60000000259;"CE";131
60000000260;"CE";15
60000000261;"CE";310
60000000262;"CE";382
60000000263;"CE";111
60000000264;"CE";2927
60000000265;"CE";6327
60000000266;"CE";728
60000000267;"CE";653
60000000268;"CE";739
60000000269;"CE";336
60000000270;"CE";8601
60000000271;"CE";147044
60000000372;"CE";1200
60000000375;"CE";2558
60000000379;"CE";3446
60000000380;"CE";1034
60000000383;"CE";463
60000000385;"CE";1050
60000000386;"CE";292
60000000390;"CE";449
60000000391;"CE";5056
60000000395;"CE";214
60000000397;"CE";1113
60000000402;"CE";4647
60000000403;"CE";368
60000000414;"CE";4343
60000000421;"CE";4327
60000000423;"CE";1528
60000000424;"CE";123
60000000425;"CE";282
60000000426;"CE";4591
60000000427;"CE";1634
60000000428;"CE";344
60000000429;"CE";393
60000000430;"CE";736
60000000431;"CE";428
60000000438;"CE";118
60000000571;"CE";173736
60000000572;"CE";60201
60000000573;"CE";3805
60000000574;"CE";180157
60000000575;"CE";53561
60000000576;"CE";1117
60000000577;"CE";389
60000000579;"CE";56162
60000000580;"CE";92499
60000000581;"CE";764
60000000582;"CE";213
60000000583;"CE";120485
60000000584;"CE";2189
60000000585;"CE";2147
60000000586;"CE";130983
60000000587;"CE";2839
60000000588;"CE";718
60000000589;"CE";585
60000000590;"CE";2250
60000000591;"CE";595
60000000592;"CE";4754
60000000593;"CE";295
60000000594;"CE";1598
60000000595;"CE";1095
60000000597;"CE";25835
60000000598;"CE";345
60000000599;"CE";95145
60000000600;"CE";1265
60000000601;"CE";2422
60000000602;"CE";0
60000000634;"CE";1293
60000000635;"CE";29217
60000000636;"CE";183
60000000637;"CE";23740
60000000638;"CE";29763
60000000639;"CE";595
60000000640;"CE";4776
60000000641;"CE";342
60000000642;"CE";1513
60000000643;"CE";13431
60000000644;"CE";360
60000000645;"CE";5097
60000000646;"CE";0
60000000647;"CE";661
60000000648;"CE";342
60000000649;"CE";39
60000000650;"CE";247
60000000652;"CE";1917
60000000653;"CE";277
60000000654;"CE";3481
60000000655;"CE";12472
60000000657;"CE";359
60000000658;"CE";1184
60000000659;"CE";1969
60000000660;"CE";515
60000000661;"CE";1310
60000000662;"CE";480
60000000663;"CE";119
60000000664;"CE";470
60000000665;"CE";453
60000000666;"CE";5857
60000000667;"CE";4530
60000000668;"CE";71
60000000669;"CE";822
60000000670;"CE";9761
60000000671;"CE";580
60000000769;"CE";70768
60000000770;"CE";60669
60000000771;"CE";711
60000000772;"CE";30
60000000773;"CE";125360
60000000774;"CE";87666
60000000775;"CE";35952
60000000776;"CE";979
60000000777;"CE";359
60000000778;"CE";18535
60000000779;"CE";185226
60000000780;"CE";19837
60000000781;"CE";37106
60000000782;"CE";18
60000000783;"CE";6774
60000000784;"CE";8453
60000000785;"CE";80578
60000000786;"CE";221567
60000000787;"CE";15676
60000000788;"CE";113885
60000000789;"CE";94056
60000000790;"CE";84474
60000000791;"CE";91085
60000000792;"CE";107734
60000000793;"CE";209032
60000000795;"CE";121640
60000000796;"CE";130717
60000000797;"CE";1173
60000000798;"CE";202
60000000799;"CE";1394
60000000800;"CE";36488
60000000801;"CE";47377
60000000802;"CE";1478
60000000803;"CE";593
60000000804;"CE";46649
60000000805;"CE";4240
60000000806;"CE";117930
60000000808;"CE";23
60000000809;"CE";21421
60000000810;"CE";779
60000000896;"CE";232
60000000920;"CE";0
60000000942;"CE";204
60000000943;"CE";38
60000000944;"CE";205
60000000955;"CE";1723
60000000957;"CE";55403
60000000962;"CE";33
60000000992;"CE";985
60000000993;"CE";288
60000000994;"CE";118
60000000995;"CE";27
60000000996;"CE";445
60000000999;"CE";0
60000001000;"CE";389
60000001049;"CE";485
60000001051;"CE";986
70000000157;"DF";343
70000000164;"DF";4054
70000000165;"DF";367
70000000168;"DF";3266
70000000169;"DF";306
70000000170;"DF";572
70000000171;"DF";6558
70000000172;"DF";374
70000000173;"DF";397
70000000174;"DF";762
70000000175;"DF";921
70000000176;"DF";474
70000000177;"DF";512
70000000178;"DF";163
70000000179;"DF";504
70000000180;"DF";196
70000000439;"DF";1834
70000000440;"DF";14615
70000000441;"DF";39461
70000000442;"DF";706
70000000443;"DF";238
70000000444;"DF";912
70000000445;"DF";9327
70000000446;"DF";1144
70000000447;"DF";7161
70000000448;"DF";13267
70000000449;"DF";2904
70000000450;"DF";22029
70000000451;"DF";4221
70000000452;"DF";2033
70000000453;"DF";1054
70000000454;"DF";27966
70000000455;"DF";507
70000000456;"DF";150
70000000457;"DF";1011
